/home/tape_api/start-gw.sh: line 6: export: `BASH_FUNC_which%%=() {  ( alias;': not a valid identifier
INFO:     127.0.0.1:49534 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:51558 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:51548 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51562 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:51574 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:51588 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51596 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:51622 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:51610 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:51630 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:36966 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:36972 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:36982 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:41088 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:41102 - "GET /api/v1/archive/config HTTP/1.1" 200 OK
INFO:     127.0.0.1:41112 - "GET /api/v1/archive/containers?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:41114 - "GET /api/v1/archive/media HTTP/1.1" 200 OK
INFO:     127.0.0.1:41120 - "GET /api/v1/archive/files?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:41134 - "GET /api/v1/archive/tasks?limit=50 HTTP/1.1" 200 OK
INFO:     127.0.0.1:41138 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:41156 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:41150 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49056 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:49070 - "GET /api/v1/archive/config HTTP/1.1" 200 OK
INFO:     127.0.0.1:49114 - "GET /api/v1/archive/media HTTP/1.1" 200 OK
INFO:     127.0.0.1:49098 - "GET /api/v1/archive/containers?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49126 - "GET /api/v1/archive/tasks?limit=50 HTTP/1.1" 200 OK
INFO:     127.0.0.1:49086 - "GET /api/v1/archive/files?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:38204 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:38206 - "GET /api/v1/archive/config HTTP/1.1" 200 OK
INFO:     127.0.0.1:38230 - "GET /api/v1/archive/media HTTP/1.1" 200 OK
INFO:     127.0.0.1:38228 - "GET /api/v1/archive/containers?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:38244 - "GET /api/v1/archive/tasks?limit=50 HTTP/1.1" 200 OK
INFO:     127.0.0.1:38220 - "GET /api/v1/archive/files?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:38248 - "POST /api/v1/archive/upload HTTP/1.1" 200 OK
INFO:     127.0.0.1:38262 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:38296 - "GET /api/v1/archive/config HTTP/1.1" 200 OK
INFO:     127.0.0.1:38276 - "GET /api/v1/archive/media HTTP/1.1" 200 OK
INFO:     127.0.0.1:38286 - "GET /api/v1/archive/containers?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:38314 - "GET /api/v1/archive/tasks?limit=50 HTTP/1.1" 200 OK
INFO:     127.0.0.1:38312 - "GET /api/v1/archive/files?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:58570 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:58584 - "GET /api/v1/archive/config HTTP/1.1" 200 OK
INFO:     127.0.0.1:58594 - "GET /api/v1/archive/media HTTP/1.1" 200 OK
INFO:     127.0.0.1:58586 - "GET /api/v1/archive/containers?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:58608 - "GET /api/v1/archive/tasks?limit=50 HTTP/1.1" 200 OK
INFO:     127.0.0.1:58602 - "GET /api/v1/archive/files?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:58620 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:58644 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:58628 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:58654 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:58668 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:58662 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:56902 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:56888 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:56908 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:58668 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:58664 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:58672 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:54336 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:54342 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:54350 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:55146 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:55162 - "GET /api/v1/archive/config HTTP/1.1" 200 OK
INFO:     127.0.0.1:55176 - "GET /api/v1/archive/containers?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:55182 - "GET /api/v1/archive/media HTTP/1.1" 200 OK
INFO:     127.0.0.1:55198 - "GET /api/v1/archive/tasks?limit=50 HTTP/1.1" 200 OK
INFO:     127.0.0.1:55190 - "GET /api/v1/archive/files?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:55214 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:55206 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:55226 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:37812 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:37826 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:37822 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:57544 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:57556 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:57532 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:57570 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:57562 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:57582 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:34374 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:34362 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:34372 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:56734 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:56740 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:56756 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:55698 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:55684 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:55702 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:57416 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:57408 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:57420 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:36874 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
INFO:     127.0.0.1:36868 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:36878 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:46914 - "GET /api/v1/archive/tree HTTP/1.1" 200 OK
INFO:     127.0.0.1:46934 - "GET /api/v1/archive/stats HTTP/1.1" 200 OK
INFO:     127.0.0.1:46918 - "GET /api/v1/archive/cache?limit=300 HTTP/1.1" 200 OK
